keys,en,ja,ko,zh_Hans,zh_Hant,de,fr,es,pt_BR,it,ar,ru
APP_TITLE,Tiny Block,Tiny Block,Tiny Block,Tiny Block,Tiny Block,Tiny Block,Tiny Block,Tiny Block,Tiny Block,Tiny Block,Tiny Block,Tiny Block
COMMON_CANCEL,Cancel,キャンセル,취소,取消,取消,Abbrechen,Annuler,Cancelar,Cancelar,Annulla,إلغاء,Отмена
COMMON_CLOSE,Close,閉じる,닫기,关闭,關閉,Schließen,Fermer,Cerrar,Fechar,Chiudi,إغلاق,Закрыть
COMMON_CONFIRM,Confirm,確認,확인,确认,確認,Bestätigen,Confirmer,Confirmar,Confirmar,Conferma,تأكيد,Подтвердить
COMMON_DELETE,Delete,削除,삭제,删除,刪除,Löschen,Supprimer,Eliminar,Excluir,Elimina,حذف,Удалить
COMMON_RETRY,Retry,再試行,다시 시도,重试,重試,Erneut versuchen,Réessayer,Reintentar,Tentar novamente,Riprova,إعادة المحاولة,Повторить
COMMON_DONE,Done,完了,완료,完成,完成,Fertig,Terminé,Listo,Concluído,Fatto,تم,Готово
ADS_RESCUE_TITLE,Emergency rescue,緊急救助,긴급 구조,紧急救援,緊急救援,Notfallrettung,Sauvetage d’urgence,Rescate de emergencia,Resgate de emergência,Salvataggio d’emergenza,إنقاذ طارئ,Экстренное спасение
ADS_RESCUE_BODY,"Watch a short ad to continue here with full health. Rescues left this session: %d","短い広告を見て、体力全快でここから続けます。今回の残り救助回数：%d","짧은 광고를 보고 체력을 모두 회복한 채 여기서 계속하세요. 이번 세션 남은 구조: %d","观看短广告，在原地满血继续。本次游戏剩余救援：%d","觀看短廣告，在原地滿血繼續。本次遊戲剩餘救援：%d","Sieh eine kurze Werbung und spiele hier mit voller Gesundheit weiter. Verbleibende Rettungen: %d","Regardez une courte publicité pour reprendre ici avec toute votre santé. Sauvetages restants : %d","Mira un anuncio corto para continuar aquí con toda la salud. Rescates restantes: %d","Assista a um anúncio curto para continuar aqui com a vida cheia. Resgates restantes: %d","Guarda un breve annuncio per continuare da qui con tutta la salute. Salvataggi rimasti: %d","شاهد إعلانًا قصيرًا للمتابعة من هنا بصحة كاملة. عمليات الإنقاذ المتبقية: %d","Посмотрите короткую рекламу, чтобы продолжить здесь с полным здоровьем. Осталось спасений: %d"
ADS_RESCUE_WATCH,Watch & rescue,広告を見て救助,광고 보고 구조,观看并救援,觀看並救援,Ansehen & retten,Regarder et sauver,Ver y rescatar,Assistir e resgatar,Guarda e salva,شاهد وأنقذ,Смотреть и спастись
